uuid,split,label,duration_seconds,peak,clipped_sample_fraction,active_frame_fraction,active_span_seconds,status
9d72542d-65e3-430c-910b-fd34a2527812,train,1,4.32,0.8773226141929626,0.0,0.22685185185185186,3.46,decoded
b0aa16a7-ed93-4a11-88bf-031ea505282c,train,1,3.42,0.6468486785888672,0.0,0.2222222222222222,1.36,decoded
7f796fc4-89d2-4858-8994-3c2cc72097b6,train,1,9.18,0.8589141368865967,0.0,0.28104575163398693,4.96,decoded
450dbdc0-e479-43a2-b3d2-8e51b8253649,train,1,2.64,0.9351813793182373,0.0,0.3333333333333333,1.02,decoded
6648cb81-abf5-476b-81e2-0abe5be299e4,train,1,5.88,0.8471429347991943,0.0,0.11224489795918367,0.76,decoded
0c01c4ac-cfbf-45b9-80db-492f334aaf30,train,1,9.9,0.9213430285453796,0.0,0.1595959595959596,2.38,decoded
b6ad6b8e-d647-4a31-a414-3c79a1006e80,validation,0,9.96,0.6103254556655884,0.0,0.10642570281124498,2.06,decoded
e1259ecf-0b60-4106-9852-61c945065ab1,validation,0,8.28,0.8016477823257446,0.0,0.27294685990338163,7.5,decoded
5d870e5c-eb77-46f0-91ef-dff99fd810f5,validation,0,4.8,0.9205613136291504,0.0,0.225,3.4,decoded
424784ac-85a8-4b14-8447-fce82be45f62,validation,0,9.06,1.060410499572754,6.898454746136865e-06,0.19205298013245034,3.54,decoded
5d5c5271-5a75-49ed-99fb-dc62d85071ff,validation,0,9.9,0.929057776927948,0.0,0.2505050505050505,8.36,decoded
44e9099f-aac3-4669-a80c-2ee40d65faef,validation,0,3.6,0.9595848321914673,0.0,0.5277777777777778,2.86,decoded
98fb6294-d339-4c83-8ff5-2bbcf82e35e0,validation,0,9.9,0.905229926109314,0.0,0.2828282828282828,7.88,decoded
f4e86ede-7444-4325-bcf8-bfd540e8ce43,validation,0,4.68,0.9502393007278442,0.0,0.17094017094017094,2.7600000000000002,decoded
5402221a-1b2a-4472-ba3e-f5cfc04f18f0,validation,0,9.9,0.8559244275093079,0.0,0.06868686868686869,0.9,decoded
e1b9d3d1-61f8-4957-923b-e2715d7fabb1,validation,0,5.58,0.8687173128128052,0.0,0.2616487455197133,4.36,decoded
0762cd0a-5ce6-4b1b-9374-5d4396c218ed,validation,0,7.5,0.9461805820465088,0.0,0.23466666666666666,5.48,decoded
9c121206-2d76-40b1-bbd0-4b1f483adada,validation,0,9.9,0.9692046642303467,0.0,0.4202020202020202,7.62,decoded
bed17bfe-d49d-44a1-a3d1-40ae3249ec52,validation,1,6.4506875,1.2295299768447876,0.0012304889982656887,0.16770186335403728,1.3,decoded
e5e07345-f99d-4051-a5be-ec195c931772,validation,1,9.9,0.8971790075302124,0.0,0.24444444444444444,6.32,decoded
154161ff-1243-49c0-a377-72992b6954e3,validation,1,9.3,0.9339203834533691,0.0,0.13763440860215054,1.3800000000000001,decoded
1614e597-81d6-4db4-9bed-43eff6c8effc,validation,1,9.3,0.7702046632766724,0.0,0.09462365591397849,6.5,decoded
540cc560-8943-4e98-9057-76749a70abdb,validation,1,9.78,0.8978955149650574,0.0,0.08384458077709611,4.76,decoded
76f0dea9-2043-4984-b515-7a0d03d31035,validation,1,9.78,1.0249689817428589,6.390593047034765e-06,0.1492842535787321,4.0200000000000005,decoded
3e6c4fe1-b681-48d7-a576-5c4ddee41c70,validation,1,10.0106875,1.3567328453063965,0.0027158474380505836,0.354,9.620000000000001,decoded
1d1b2daf-5b26-4176-b826-c521d25ee5c5,validation,1,9.84,0.8240139484405518,0.0,0.19308943089430894,6.58,decoded
99b2dc16-7b5f-4d45-99b2-c3768262be3a,validation,1,9.78,0.9598946571350098,0.0,0.12678936605316973,4.7,decoded
2748930a-4455-44de-8848-112d455554f7,validation,1,9.9,0.8784909844398499,0.0,0.23232323232323232,9.74,decoded
fd849b72-f4bf-4852-9bc2-fd9becc9571e,validation,1,4.56,0.8512264490127563,0.0,0.17543859649122806,0.9400000000000001,decoded
7330dd4d-3edf-43b4-a703-4d077c573fe9,validation,1,9.96,0.9882881045341492,0.0,0.23293172690763053,8.48,decoded
